dish,ingredients
bruschetta,"[{""ingredient"": ""baguette"", ""quantity"": ""1""}, {""ingredient"": ""Roma tomatoes"", ""quantity"": ""4""}, {""ingredient"": ""fresh basil"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""olive oil"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""balsamic glaze"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
caesar_salad,"[{""ingredient"": ""romaine lettuce"", ""quantity"": ""2 heads""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""croutons"", ""quantity"": ""1 cup""}, {""ingredient"": ""egg yolk"", ""quantity"": ""2""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""anchovy paste"", ""quantity"": ""1 tsp""}, {""ingredient"": ""lemon juice"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}, {""ingredient"": ""olive oil"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""Worcestershire sauce"", ""quantity"": ""1 tsp""}]"
cannoli,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""sugar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""cocoa powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""cinnamon"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""Marsala wine"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""ricotta cheese"", ""quantity"": ""2 cups""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""1 cup""}, {""ingredient"": ""chocolate chips"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}]"
caprese_salad,"[{""ingredient"": ""fresh mozzarella"", ""quantity"": ""250g""}, {""ingredient"": ""tomatoes"", ""quantity"": ""3 large""}, {""ingredient"": ""fresh basil"", ""quantity"": ""1 bunch""}, {""ingredient"": ""olive oil"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""balsamic glaze"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
carrot_cake,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""carrots"", ""quantity"": ""3 cups grated""}, {""ingredient"": ""sugar"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""vegetable oil"", ""quantity"": ""1 cup""}, {""ingredient"": ""eggs"", ""quantity"": ""4""}, {""ingredient"": ""baking soda"", ""quantity"": ""2 tsp""}, {""ingredient"": ""cinnamon"", ""quantity"": ""2 tsp""}, {""ingredient"": ""cream cheese"", ""quantity"": ""250g""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""3 cups""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""2 tsp""}]"
ceviche,"[{""ingredient"": ""white fish (sea bass)"", ""quantity"": ""500g""}, {""ingredient"": ""lime juice"", ""quantity"": ""1 cup""}, {""ingredient"": ""red onion"", ""quantity"": ""1 medium""}, {""ingredient"": ""jalape\u00f1o"", ""quantity"": ""2""}, {""ingredient"": ""cilantro"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""tomatoes"", ""quantity"": ""2""}, {""ingredient"": ""cucumber"", ""quantity"": ""1/2""}, {""ingredient"": ""avocado"", ""quantity"": ""1""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
cheesecake,"[{""ingredient"": ""cream cheese"", ""quantity"": ""750g""}, {""ingredient"": ""sugar"", ""quantity"": ""1 cup""}, {""ingredient"": ""eggs"", ""quantity"": ""3""}, {""ingredient"": ""sour cream"", ""quantity"": ""1 cup""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""2 tsp""}, {""ingredient"": ""graham crackers"", ""quantity"": ""2 cups crushed""}, {""ingredient"": ""butter"", ""quantity"": ""6 tbsp""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""all-purpose flour"", ""quantity"": ""2 tbsp""}]"
cheese_plate,"[{""ingredient"": ""aged cheddar"", ""quantity"": ""100g""}, {""ingredient"": ""brie cheese"", ""quantity"": ""100g""}, {""ingredient"": ""blue cheese"", ""quantity"": ""75g""}, {""ingredient"": ""gouda"", ""quantity"": ""100g""}, {""ingredient"": ""crackers"", ""quantity"": ""1 box""}, {""ingredient"": ""grapes"", ""quantity"": ""1 cup""}, {""ingredient"": ""honey"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""walnuts"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""fig jam"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""dried apricots"", ""quantity"": ""1/4 cup""}]"
chicken_curry,"[{""ingredient"": ""chicken thighs"", ""quantity"": ""700g""}, {""ingredient"": ""onion"", ""quantity"": ""2 large""}, {""ingredient"": ""garlic"", ""quantity"": ""4 cloves""}, {""ingredient"": ""ginger"", ""quantity"": ""1 inch""}, {""ingredient"": ""coconut milk"", ""quantity"": ""400ml""}, {""ingredient"": ""curry powder"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""turmeric"", ""quantity"": ""1 tsp""}, {""ingredient"": ""garam masala"", ""quantity"": ""1 tsp""}, {""ingredient"": ""tomatoes"", ""quantity"": ""2""}, {""ingredient"": ""oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
chicken_quesadilla,"[{""ingredient"": ""flour tortillas"", ""quantity"": ""4 large""}, {""ingredient"": ""chicken breast"", ""quantity"": ""400g""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""2 cups""}, {""ingredient"": ""bell pepper"", ""quantity"": ""1""}, {""ingredient"": ""onion"", ""quantity"": ""1/2""}, {""ingredient"": ""jalape\u00f1o"", ""quantity"": ""1""}, {""ingredient"": ""cumin"", ""quantity"": ""1 tsp""}, {""ingredient"": ""chili powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""sour cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""salsa"", ""quantity"": ""1/4 cup""}]"
chicken_wings,"[{""ingredient"": ""chicken wings"", ""quantity"": ""1.5 kg""}, {""ingredient"": ""hot sauce"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""butter"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""garlic powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""onion powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""paprika"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""black pepper"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""baking powder"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""blue cheese dressing"", ""quantity"": ""1/2 cup""}]"
chocolate_cake,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""cocoa powder"", ""quantity"": ""3/4 cup""}, {""ingredient"": ""sugar"", ""quantity"": ""2 cups""}, {""ingredient"": ""baking soda"", ""quantity"": ""2 tsp""}, {""ingredient"": ""baking powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""buttermilk"", ""quantity"": ""1 cup""}, {""ingredient"": ""vegetable oil"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""hot coffee"", ""quantity"": ""1 cup""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1 cup""}, {""ingredient"": ""dark chocolate"", ""quantity"": ""200g""}]"
chocolate_mousse,"[{""ingredient"": ""dark chocolate"", ""quantity"": ""200g""}, {""ingredient"": ""heavy cream"", ""quantity"": ""2 cups""}, {""ingredient"": ""eggs"", ""quantity"": ""4""}, {""ingredient"": ""sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""pinch""}]"
churros,"[{""ingredient"": ""water"", ""quantity"": ""1 cup""}, {""ingredient"": ""all-purpose flour"", ""quantity"": ""1 cup""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sugar"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""1/4 tsp""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""cinnamon sugar"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}, {""ingredient"": ""chocolate sauce"", ""quantity"": ""1/2 cup""}]"
clam_chowder,"[{""ingredient"": ""clams"", ""quantity"": ""500g""}, {""ingredient"": ""bacon"", ""quantity"": ""4 strips""}, {""ingredient"": ""onion"", ""quantity"": ""1 large""}, {""ingredient"": ""celery"", ""quantity"": ""2 stalks""}, {""ingredient"": ""potatoes"", ""quantity"": ""3 medium""}, {""ingredient"": ""whole milk"", ""quantity"": ""2 cups""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1 cup""}, {""ingredient"": ""flour"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""thyme"", ""quantity"": ""1 tsp""}, {""ingredient"": ""bay leaf"", ""quantity"": ""2""}]"
club_sandwich,"[{""ingredient"": ""white bread"", ""quantity"": ""3 slices""}, {""ingredient"": ""turkey breast"", ""quantity"": ""100g""}, {""ingredient"": ""bacon"", ""quantity"": ""3 strips""}, {""ingredient"": ""lettuce"", ""quantity"": ""2 leaves""}, {""ingredient"": ""tomato"", ""quantity"": ""2 slices""}, {""ingredient"": ""mayonnaise"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""1 slice""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
crab_cakes,"[{""ingredient"": ""crab meat"", ""quantity"": ""500g""}, {""ingredient"": ""breadcrumbs"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""egg"", ""quantity"": ""1""}, {""ingredient"": ""mayonnaise"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}, {""ingredient"": ""Old Bay seasoning"", ""quantity"": ""1 tsp""}, {""ingredient"": ""Worcestershire sauce"", ""quantity"": ""1 tsp""}, {""ingredient"": ""parsley"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}]"
creme_brulee,"[{""ingredient"": ""heavy cream"", ""quantity"": ""2 cups""}, {""ingredient"": ""egg yolks"", ""quantity"": ""5""}, {""ingredient"": ""sugar"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""vanilla bean"", ""quantity"": ""1""}, {""ingredient"": ""sugar for topping"", ""quantity"": ""4 tbsp""}]"
croque_madame,"[{""ingredient"": ""bread"", ""quantity"": ""2 thick slices""}, {""ingredient"": ""ham"", ""quantity"": ""2 slices""}, {""ingredient"": ""Gruyere cheese"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""egg"", ""quantity"": ""1""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""flour"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""whole milk"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}, {""ingredient"": ""nutmeg"", ""quantity"": ""pinch""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
cup_cakes,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""sugar"", ""quantity"": ""1 cup""}, {""ingredient"": ""butter"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""milk"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""baking powder"", ""quantity"": ""1.5 tsp""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""1/4 tsp""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""2 cups""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1/4 cup""}]"
deviled_eggs,"[{""ingredient"": ""eggs"", ""quantity"": ""12""}, {""ingredient"": ""mayonnaise"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}, {""ingredient"": ""white vinegar"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""paprika"", ""quantity"": ""for garnish""}, {""ingredient"": ""chives"", ""quantity"": ""2 tbsp""}]"
donuts,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""3.5 cups""}, {""ingredient"": ""milk"", ""quantity"": ""1 cup""}, {""ingredient"": ""sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""yeast"", ""quantity"": ""2.25 tsp""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""butter"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""2 cups""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}, {""ingredient"": ""chocolate glaze"", ""quantity"": ""1 cup""}]"
dumplings,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""water"", ""quantity"": ""3/4 cup""}, {""ingredient"": ""ground pork"", ""quantity"": ""300g""}, {""ingredient"": ""napa cabbage"", ""quantity"": ""1 cup""}, {""ingredient"": ""ginger"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""soy sauce"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sesame oil"", ""quantity"": ""1 tsp""}, {""ingredient"": ""green onions"", ""quantity"": ""3""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
edamame,"[{""ingredient"": ""edamame pods"", ""quantity"": ""400g""}, {""ingredient"": ""salt"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""water"", ""quantity"": ""6 cups""}]"
eggs_benedict,"[{""ingredient"": ""English muffins"", ""quantity"": ""2""}, {""ingredient"": ""eggs"", ""quantity"": ""4""}, {""ingredient"": ""Canadian bacon"", ""quantity"": ""4 slices""}, {""ingredient"": ""egg yolks"", ""quantity"": ""3""}, {""ingredient"": ""butter"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""white vinegar"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""cayenne pepper"", ""quantity"": ""pinch""}, {""ingredient"": ""paprika"", ""quantity"": ""for garnish""}]"
escargots,"[{""ingredient"": ""snails"", ""quantity"": ""24""}, {""ingredient"": ""butter"", ""quantity"": ""100g""}, {""ingredient"": ""garlic"", ""quantity"": ""4 cloves""}, {""ingredient"": ""parsley"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""shallot"", ""quantity"": ""1""}, {""ingredient"": ""white wine"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}, {""ingredient"": ""baguette"", ""quantity"": ""1""}]"
falafel,"[{""ingredient"": ""dried chickpeas"", ""quantity"": ""2 cups""}, {""ingredient"": ""onion"", ""quantity"": ""1 medium""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""parsley"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""cumin"", ""quantity"": ""1 tsp""}, {""ingredient"": ""coriander"", ""quantity"": ""1 tsp""}, {""ingredient"": ""baking powder"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""flour"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}]"
filet_mignon,"[{""ingredient"": ""beef tenderloin steaks"", ""quantity"": ""2 x 200g""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""fresh thyme"", ""quantity"": ""3 sprigs""}, {""ingredient"": ""fresh rosemary"", ""quantity"": ""2 sprigs""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
fish_and_chips,"[{""ingredient"": ""cod fillets"", ""quantity"": ""600g""}, {""ingredient"": ""potatoes"", ""quantity"": ""4 large""}, {""ingredient"": ""all-purpose flour"", ""quantity"": ""1 cup""}, {""ingredient"": ""beer"", ""quantity"": ""1 cup""}, {""ingredient"": ""baking powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}, {""ingredient"": ""malt vinegar"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""tartar sauce"", ""quantity"": ""1/4 cup""}]"
foie_gras,"[{""ingredient"": ""duck foie gras"", ""quantity"": ""400g""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""black pepper"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""white wine"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""brioche"", ""quantity"": ""4 slices""}, {""ingredient"": ""fig jam"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""fleur de sel"", ""quantity"": ""to taste""}]"
french_fries,"[{""ingredient"": ""russet potatoes"", ""quantity"": ""4 large""}, {""ingredient"": ""oil for frying"", ""quantity"": ""6 cups""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""black pepper"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""paprika"", ""quantity"": ""1/2 tsp""}]"
french_onion_soup,"[{""ingredient"": ""onions"", ""quantity"": ""4 large""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""beef broth"", ""quantity"": ""6 cups""}, {""ingredient"": ""dry white wine"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""French bread"", ""quantity"": ""4 slices""}, {""ingredient"": ""Gruyere cheese"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""thyme"", ""quantity"": ""1 tsp""}, {""ingredient"": ""bay leaf"", ""quantity"": ""2""}, {""ingredient"": ""sugar"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
french_toast,"[{""ingredient"": ""brioche bread"", ""quantity"": ""6 slices""}, {""ingredient"": ""eggs"", ""quantity"": ""3""}, {""ingredient"": ""whole milk"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""sugar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}, {""ingredient"": ""cinnamon"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""maple syrup"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""for topping""}]"
fried_calamari,"[{""ingredient"": ""squid rings"", ""quantity"": ""500g""}, {""ingredient"": ""all-purpose flour"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""cornmeal"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""paprika"", ""quantity"": ""1 tsp""}, {""ingredient"": ""garlic powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""black pepper"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}, {""ingredient"": ""lemon"", ""quantity"": ""2""}, {""ingredient"": ""marinara sauce"", ""quantity"": ""1/2 cup""}]"
